,product_id,product_name,display_price,regular_price,currency,uom,item_link,item_imge_link
11,442146,Gà thả vườn,"69,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ga-tha-vuon-442146/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/151285-300x300.jpg
12,439321,Thịt tôm lột,"299,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/thit-tom-lot-439321/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/331973-300x300.jpg
13,438713,Nạc heo xay Vietgap We Are Fresh,"119,000","130,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nac-heo-xay-vietgap-we-are-fresh-438713/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/378683-300x300.jpg
14,438476,Nạc vai bò đông lạnh xuất khẩu xuất xứ Úc,"199,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nac-vai-bo-dong-lanh-xuat-khau-xuat-xu-uc-438476/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394476-300x300.jpg
15,436069,Dẻ sườn bò 500g,"259,000",,₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/de-suon-bo-500g-436069/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/392873-300x300.jpg
16,432694,Lẩu bò bắp nấm,"190,000",,₫,Khay,https://online.mmvietnam.com/san-pham/mm-an-phu/la%cc%89u-bo-bap-nam-432694/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/379769-300x300.jpg
17,430014,Dâu tây Hàn Quốc 250g xuất xứ Hàn Quốc,"159,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/dau-tay-han-quoc-250g-xuat-xu-han-quoc-430014/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/234062-300x300.jpg
18,430029,Cá dứa tươi 0.5-1kg/ con,"240,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-dua-tuoi-0-5-1kg-con-430029/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/351401-300x300.jpg
19,430050,Ba rọi heo,"152,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ba-roi-heo-430050/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/397706-300x300.jpg
0,427700,Cam vàng Mỹ 3 trái xuất xứ Mỹ,"115,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/cam-vang-my-3-trai-xuat-xu-my-427700/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/397010-300x300.jpg
1,426553,Ba rọi heo có xương đông lạnh nhập khẩu,"109,900",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ba-roi-heo-co-xuong-dong-lanh-nhap-khau-426553/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394187-300x300.jpg
2,426595,Mận An Phước (800g),"40,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/man-an-phuoc-800g-426595/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/390496-300x300.jpg
3,423911,Bó hoa Điệp Vũ S,"70,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/bo-hoa-diep-vu-s-423911/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/188901-300x300.jpg
4,423932,Chậu thu hải đường,"66,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/cha%cc%a3u-thu-ha%cc%89i-duong-423932/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/107668-300x300.jpg
5,423953,Chậu sống đời TK gói,"90,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/chau-song-doi-tk-goi-423953/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/184897-300x300.jpg
6,423497,Cá hố nhập khẩu đông lạnh rã đông 500-700g,"168,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-ho-nhap-khau-dong-lanh-ra-dong-500-700g-423497/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/397172-300x300.jpg
7,423539,Dưa leo baby We are Fresh 500g,"18,000",,₫,Khay,https://online.mmvietnam.com/san-pham/mm-an-phu/dua-leo-baby-we-are-fresh-500g-423539/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/134664-300x300.jpg
8,422021,"Dưa leo loại 1, 1kg","31,000",,₫,Khay,https://online.mmvietnam.com/san-pham/mm-an-phu/dua-leo-loai-1-1kg-422021/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/390492-300x300.jpg
9,422031,"Cá diêu hồng làm sạch, 0.2 – 0.5 kg/con","75,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-dieu-hong-lam-sach-0-2-0-5-kg-con-422031/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/171096-300x300.jpg
10,422072,Cá tra phi lê Well Trim 170g up,"106,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-tra-phi-le-well-trim-170g-up-422072/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/374935-300x300.jpg
11,421969,Ba rọi heo không da đông lạnh nhập khẩu,"109,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ba-roi-heo-khong-da-dong-lanh-nhap-khau-421969/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/342459-300x300.jpg
12,421990,Sườn sụn/ xương ức bò đông lạnh nhập khẩu Úc,"75,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/suon-sun-xuong-uc-bo-dong-lanh-nhap-khau-uc-421990/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/326496-300x300.jpg
13,422011,Chanh không hạt thượng hạng 1kg,"26,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/chanh-khong-hat-thuong-hang-1kg-422011/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/390408-300x300.jpg
14,420199,Nho xanh không hạt nhập khẩu Úc,"119,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nho-xanh-khong-hat-nhap-khau-uc-420199/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/349157-300x300.jpg
15,420214,Nho đỏ không hạt nhập khẩu Úc,"125,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nho-do-khong-hat-nhap-khau-uc-420214/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/349155-300x300.jpg
16,417185,Tôm khô sinh thái 200g,"398,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/tom-kho-sinh-thai-200g-417185/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391498-300x300.jpg
17,417206,Việt quất nhập khẩu xuất xứ New Zealand 125g,"95,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/viet-quat-nhap-khau-xuat-xu-new-zealand-125g-417206/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/395189-300x300.jpg
18,416855,Lõi nạc vai bò cắt lát gói 500g,"189,000","209,000",₫,Khay,https://online.mmvietnam.com/san-pham/mm-an-phu/loi-nac-vai-bo-cat-lat-goi-500g-416855/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391856-300x300.jpg
19,416882,Táo Fuji We Are Fresh nhập khẩu 2.25kg up xuất xứ Mỹ,"155,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/tao-fuji-we-are-fresh-nhap-khau-2-25kg-up-xuat-xu-my-416882/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391632-300x300.jpg
0,416897,Dưa leo giống Hà Lan 500g,"26,000",,₫,Khay,https://online.mmvietnam.com/san-pham/mm-an-phu/dua-leo-giong-ha-lan-500g-416897/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394046-300x300.jpg
1,416419,Bắp bò cắt lát đông lạnh nhập khẩu xuất xứ Úc 500g,"119,000","139,000",₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/bap-bo-cat-lat-dong-lanh-nhap-khau-xuat-xu-uc-500g-416419/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/389345-300x300.jpg
2,416500,Tôm sú sinh thái 10 – 18 con 300g,"216,600",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/tom-su-sinh-thai-10-18-con-300g-416500/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391500-300x300.jpg
3,416118,Tôm khô Côn Đảo Hồng Nam 200g,"349,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/tom-kho-con-dao-hong-nam-200g-416118/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/322249-300x300.jpg
4,414673,"Cá chẽm fillet không da, 0.2 – 0.5kg/ miếng","249,000","275,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-chem-fillet-khong-da-0-2-0-5kg-mieng-414673/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/185729-300x300.jpg
5,413765,Tôm càng sống 13 -15 con/ kg,"332,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/tom-cang-song-13-15-con-kg-413765/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/33587-300x300.jpg
6,414044,Cá chim trắng sống 0.7 – 1kg/con,"297,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-chim-trang-song-0-7-1kg-con-414044/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/136550-300x300.jpg
7,414135,Mãng cầu xiêm ngũ quả 500g,"30,900",,₫,Trái,https://online.mmvietnam.com/san-pham/mm-an-phu/mang-cau-xiem-ngu-qua-500g-414135/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/145980-300x300.jpg
